svc_category,domain_name,ip_addr,svc_bridge,svc_type,svc_sub_type,base_domain,k8s_name
ftp,ftp.cisco.com,72.163.4.185,na-svc,ftps,,cisco.com,ftp-cisco
ftp,ftp.adobe.com,193.104.215.58,na-svc,ftps,,adobe.com,ftp-adobe
ftp,ftp.malwr.cn,61.62.202.101,as-svc,ftp,,malwr.cn,ftp-malwr
ftp,ftp.music.ru,212.2.123.43,eu-svc,ftp,,music.ru,ftp-music
media,stream.com,184.29.214.127,na-svc,,,stream.com,media-stream
traffic,na-traffic,3.120.3.120,na-svc,trex,,,traffic-na
traffic,eu-traffic,85.84.83.82,eu-svc,trex,,,traffic-eu
traffic,as-traffic,113.114.115.116,as-svc,trex,,,traffic-as
traffic,au-traffic,150.151.152.133,au-svc,ostinato,,,traffic-au
traffic,af-traffic,102.103.104.105,af-svc,ostinato,,,traffic-af
traffic,la-traffic,190.187.13.14,la-svc,ostinato,,,traffic-la
