master,192.168.1.10,10.10.1.10,10.10.2.10,192.168.1.1
worker01,192.168.1.11,10.10.1.11,10.10.2.11,192.168.1.1
worker02,192.168.1.12,10.10.1.12,10.10.2.12,192.168.1.1
